paper_idx,voltage,workload,cgate,E_per_mac,layer_node,mac_number,Etotal,Ewlbl,Emul,Eadder,Emem,Emem_O,Emem_W,Emem_I,utilization_O,utilization_W,utilization_I,latency_wo_onload_wo_offload,latency_w_onload_wo_offload,latency_w_onload_w_offload
1,0.7,mb_v1,0.636,0.253,LayerNode_12,589824,148957.418,0.0,2941.004,145556.722,459.691,229.766,0.16,229.766,1.0,1.0,1.0,576,578,579
1,0.8,mb_v1,0.636,0.391,LayerNode_0,497664,194503.711,0.0,3241.106,190114.903,1147.701,300.102,0.044,847.555,1.0,1.0,1.0,2304,2305,2306
1,0.8,mb_v1,0.636,0.168,LayerNode_20,589824,99199.699,0.0,3841.311,95057.451,300.936,150.051,0.834,150.051,1.0,1.0,1.0,144,152,153
1,0.8,mb_v1,0.636,0.33,LayerNode_16,294912,97203.601,0.0,1920.656,95057.451,225.494,150.051,0.417,75.026,1.0,1.0,1.0,144,148,149
1,0.8,mb_v1,0.636,0.168,LayerNode_28,589824,99277.225,0.0,3841.311,95057.451,378.463,300.102,3.334,75.026,1.0,1.0,1.0,158.0,174.0,175.0
1,0.8,mb_v1,0.636,0.168,LayerNode_40,589824,99277.225,0.0,3841.311,95057.451,378.463,300.102,3.334,75.026,1.0,1.0,1.0,158.0,174.0,175.0
1,0.8,mb_v1,0.636,0.168,LayerNode_52,589824,99225.124,0.0,3841.311,95057.451,326.361,168.808,120.041,37.513,1.0,1.0,1.0,1155.0,1187.0,1188.0
1,0.8,mb_v1,0.636,0.168,LayerNode_32,589824,99277.225,0.0,3841.311,95057.451,378.463,300.102,3.334,75.026,1.0,1.0,1.0,158.0,174.0,175.0
1,0.8,mb_v1,0.636,0.653,LayerNode_8,294912,192485.816,0.0,1920.656,190114.903,450.258,300.102,0.104,150.051,1.0,1.0,1.0,576,577,578
1,0.8,mb_v1,0.636,0.168,LayerNode_48,294912,49621.94,0.0,1920.656,47528.726,172.559,93.782,60.02,18.756,1.0,1.0,1.0,561.0,593.0,594.0
1,0.8,mb_v1,0.636,0.168,LayerNode_24,294912,49563.587,0.0,1920.656,47528.726,114.206,75.026,1.667,37.513,1.0,1.0,1.0,36,52,53
1,0.8,mb_v1,0.636,0.33,LayerNode_12,589824,194556.628,0.0,3841.311,190114.903,600.413,300.102,0.208,300.102,1.0,1.0,1.0,576,578,579
1,0.8,mb_v1,0.636,0.168,LayerNode_36,589824,99277.225,0.0,3841.311,95057.451,378.463,300.102,3.334,75.026,1.0,1.0,1.0,158.0,174.0,175.0
1,0.8,mb_v1,0.636,1.299,LayerNode_4,294912,383050.795,0.0,1920.656,380229.806,900.333,600.205,0.026,300.102,1.0,1.0,1.0,2304,2305,2306
1,0.8,mb_v1,0.636,0.176,LayerNode_57,512,90.268,0.0,3.334,82.515,4.419,0.147,0.104,4.168,1.0,1.0,1.0,6.0,7.0,8.0
1,0.8,mb_v1,0.636,0.168,LayerNode_44,589824,99277.225,0.0,3841.311,95057.451,378.463,300.102,3.334,75.026,1.0,1.0,1.0,158.0,174.0,175.0
1,0.9,mb_v1,0.636,0.213,LayerNode_24,294912,62728.915,0.0,2430.83,60153.543,144.542,94.954,2.11,47.477,1.0,1.0,1.0,36,52,53
1,0.9,mb_v1,0.636,1.644,LayerNode_4,294912,484798.662,0.0,2430.83,481228.348,1139.484,759.634,0.033,379.817,1.0,1.0,1.0,2304,2305,2306
1,0.9,mb_v1,0.636,0.213,LayerNode_20,589824,125549.619,0.0,4861.66,120307.087,380.872,189.909,1.055,189.909,1.0,1.0,1.0,144,152,153
1,0.9,mb_v1,0.636,0.826,LayerNode_8,294912,243614.861,0.0,2430.83,240614.174,569.858,379.817,0.132,189.909,1.0,1.0,1.0,576,577,578
1,0.9,mb_v1,0.636,0.223,LayerNode_57,512,114.246,0.0,4.22,104.433,5.593,0.185,0.132,5.275,1.0,1.0,1.0,6.0,7.0,8.0
1,0.9,mb_v1,0.636,0.213,LayerNode_44,589824,125647.738,0.0,4861.66,120307.087,478.992,379.817,4.22,94.954,1.0,1.0,1.0,158.0,174.0,175.0
1,0.9,mb_v1,0.636,0.213,LayerNode_48,294912,62802.768,0.0,2430.83,60153.543,218.395,118.693,75.963,23.739,1.0,1.0,1.0,561.0,593.0,594.0
1,0.9,mb_v1,0.636,0.495,LayerNode_0,497664,246168.759,0.0,4102.025,240614.174,1452.56,379.817,0.056,1072.687,1.0,1.0,1.0,2304,2305,2306
1,0.9,mb_v1,0.636,0.213,LayerNode_32,589824,125647.738,0.0,4861.66,120307.087,478.992,379.817,4.22,94.954,1.0,1.0,1.0,158.0,174.0,175.0
1,0.9,mb_v1,0.636,0.417,LayerNode_16,294912,123023.307,0.0,2430.83,120307.087,285.39,189.909,0.528,94.954,1.0,1.0,1.0,144,148,149
1,0.9,mb_v1,0.636,0.213,LayerNode_28,589824,125647.738,0.0,4861.66,120307.087,478.992,379.817,4.22,94.954,1.0,1.0,1.0,158.0,174.0,175.0
1,0.9,mb_v1,0.636,0.213,LayerNode_36,589824,125647.738,0.0,4861.66,120307.087,478.992,379.817,4.22,94.954,1.0,1.0,1.0,158.0,174.0,175.0
1,0.9,mb_v1,0.636,0.417,LayerNode_12,589824,246235.732,0.0,4861.66,240614.174,759.898,379.817,0.264,379.817,1.0,1.0,1.0,576,578,579
1,0.9,mb_v1,0.636,0.213,LayerNode_52,589824,125581.798,0.0,4861.66,120307.087,413.051,213.647,151.927,47.477,1.0,1.0,1.0,1155.0,1187.0,1188.0
1,0.9,mb_v1,0.636,0.213,LayerNode_40,589824,125647.738,0.0,4861.66,120307.087,478.992,379.817,4.22,94.954,1.0,1.0,1.0,158.0,174.0,175.0
1,1.0,mb_v1,0.636,2.029,LayerNode_4,294912,598516.867,0.0,3001.025,594109.071,1406.771,937.82,0.041,468.91,1.0,1.0,1.0,2304,2305,2306
1,1.0,mb_v1,0.636,0.263,LayerNode_20,589824,154999.529,0.0,6002.049,148527.268,470.213,234.455,1.303,234.455,1.0,1.0,1.0,144,152,153
1,1.0,mb_v1,0.636,0.515,LayerNode_16,294912,151880.626,0.0,3001.025,148527.268,352.334,234.455,0.651,117.228,1.0,1.0,1.0,144,148,149
1,1.0,mb_v1,0.636,0.263,LayerNode_28,589824,155120.665,0.0,6002.049,148527.268,591.348,468.91,5.21,117.228,1.0,1.0,1.0,158.0,174.0,175.0
1,1.0,mb_v1,0.636,0.611,LayerNode_0,497664,303912.048,0.0,5064.229,297054.536,1793.283,468.91,0.069,1324.305,1.0,1.0,1.0,2304,2305,2306
1,1.0,mb_v1,0.636,0.275,LayerNode_57,512,141.044,0.0,5.21,128.93,6.904,0.229,0.163,6.513,1.0,1.0,1.0,6.0,7.0,8.0
1,1.0,mb_v1,0.636,0.263,LayerNode_48,294912,77534.282,0.0,3001.025,74263.634,269.623,146.534,93.782,29.307,1.0,1.0,1.0,561.0,593.0,594.0
1,1.0,mb_v1,0.636,0.263,LayerNode_32,589824,155120.665,0.0,6002.049,148527.268,591.348,468.91,5.21,117.228,1.0,1.0,1.0,158.0,174.0,175.0
1,1.0,mb_v1,0.636,0.263,LayerNode_24,294912,77443.105,0.0,3001.025,74263.634,178.446,117.228,2.605,58.614,1.0,1.0,1.0,36,52,53
1,1.0,mb_v1,0.636,0.263,LayerNode_44,589824,155120.665,0.0,6002.049,148527.268,591.348,468.91,5.21,117.228,1.0,1.0,1.0,158.0,174.0,175.0
1,1.0,mb_v1,0.636,0.263,LayerNode_36,589824,155120.665,0.0,6002.049,148527.268,591.348,468.91,5.21,117.228,1.0,1.0,1.0,158.0,174.0,175.0
1,1.0,mb_v1,0.636,0.263,LayerNode_40,589824,155120.665,0.0,6002.049,148527.268,591.348,468.91,5.21,117.228,1.0,1.0,1.0,158.0,174.0,175.0
1,1.0,mb_v1,0.636,0.263,LayerNode_52,589824,155039.257,0.0,6002.049,148527.268,509.94,263.762,187.564,58.614,1.0,1.0,1.0,1155.0,1187.0,1188.0
1,1.0,mb_v1,0.636,0.515,LayerNode_12,589824,303994.73,0.0,6002.049,297054.536,938.146,468.91,0.326,468.91,1.0,1.0,1.0,576,578,579
